,tick,position,error
422,MCACW,2702,'NoneType' object is not subscriptable
423,MCAGR,2706,'NoneType' object is not subscriptable
424,MDGSW,2719,'NoneType' object is not subscriptable
425,MDRRP,2725,'NoneType' object is not subscriptable
426,MEOAW,2743,'NoneType' object is not subscriptable
427,METCL,2750,'NoneType' object is not subscriptable
428,MINDP,2774,'NoneType' object is not subscriptable
429,MLACW,2787,'NoneType' object is not subscriptable
430,MLAIW,2790,'NoneType' object is not subscriptable
431,MNSBP,2808,'NoneType' object is not subscriptable
432,MNTSW,2812,'NoneType' object is not subscriptable
433,MOBBW,2816,'NoneType' object is not subscriptable
434,MOBVW,2820,'NoneType' object is not subscriptable
435,MONCW,2829,'NoneType' object is not subscriptable
436,MPACR,2839,'NoneType' object is not subscriptable
437,MPRAW,2843,'NoneType' object is not subscriptable
438,MSACW,2863,'NoneType' object is not subscriptable
439,MSBIP,2865,'NoneType' object is not subscriptable
440,MSDAW,2868,'NoneType' object is not subscriptable
441,MSPRW,2873,'NoneType' object is not subscriptable
442,MSPRZ,2874,'NoneType' object is not subscriptable
443,MTACW,2879,'NoneType' object is not subscriptable
444,MTBCO,2881,'NoneType' object is not subscriptable
445,MTBCP,2882,'NoneType' object is not subscriptable
446,MTEKW,2887,'NoneType' object is not subscriptable
447,MTRYW,2894,'NoneType' object is not subscriptable
448,MURFW,2900,'NoneType' object is not subscriptable
449,MVSTW,2904,'NoneType' object is not subscriptable
450,MYPSW,2913,'NoneType' object is not subscriptable
451,,2916,Expecting value: line 1 column 1 (char 0)
452,NAMSW,2921,'NoneType' object is not subscriptable
453,NBSTW,2934,'NoneType' object is not subscriptable
454,NCACW,2939,'NoneType' object is not subscriptable
455,NCPLW,2944,'NoneType' object is not subscriptable
456,NDACW,2950,'NoneType' object is not subscriptable
457,NEOVW,2961,'NoneType' object is not subscriptable
458,NESRW,2966,'NoneType' object is not subscriptable
459,NHICW,2980,'NoneType' object is not subscriptable
460,NLSPW,2991,'NoneType' object is not subscriptable
461,NNAVW,3000,'NoneType' object is not subscriptable
462,NOGNW,3006,'NoneType' object is not subscriptable
463,NPABW,3013,'NoneType' object is not subscriptable
464,NRACW,3017,'NoneType' object is not subscriptable
465,NRSNW,3024,'NoneType' object is not subscriptable
466,NRXPW,3026,'NoneType' object is not subscriptable
467,NTRBW,3042,'NoneType' object is not subscriptable
468,NVACR,3054,'NoneType' object is not subscriptable
469,NVACW,3055,'NoneType' object is not subscriptable
470,NVNOW,3068,'NoneType' object is not subscriptable
471,NVSAW,3072,'NoneType' object is not subscriptable
472,NVVEW,3075,'NoneType' object is not subscriptable
473,NWTNW,3086,'NoneType' object is not subscriptable
474,NXLIW,3090,'NoneType' object is not subscriptable
475,NXPLW,3093,'NoneType' object is not subscriptable
476,NYMTL,3099,'NoneType' object is not subscriptable
477,NYMTN,3101,'NoneType' object is not subscriptable
478,NYMTZ,3102,'NoneType' object is not subscriptable
479,OABIW,3106,'NoneType' object is not subscriptable
480,OCCIO,3116,'NoneType' object is not subscriptable
481,OEPWW,3129,'NoneType' object is not subscriptable
482,OFSSH,3135,'NoneType' object is not subscriptable
483,OHAAW,3139,'NoneType' object is not subscriptable
484,OHPAW,3142,'NoneType' object is not subscriptable
485,OKYO,3146,'NoneType' object is not subscriptable
486,OLITW,3151,'NoneType' object is not subscriptable
487,ONFOW,3177,'NoneType' object is not subscriptable
488,ONYXW,3181,'NoneType' object is not subscriptable
489,OPALW,3184,'NoneType' object is not subscriptable
490,ORGNW,3201,'NoneType' object is not subscriptable
491,ORIAW,3206,'NoneType' object is not subscriptable
492,OSTRW,3220,'NoneType' object is not subscriptable
493,OTECW,3224,'NoneType' object is not subscriptable
494,OTMOW,3230,'NoneType' object is not subscriptable
495,OXACW,3238,'NoneType' object is not subscriptable
496,OXBRW,3240,'NoneType' object is not subscriptable
497,OXLCL,3242,'NoneType' object is not subscriptable
498,OXLCM,3243,'NoneType' object is not subscriptable
499,OXLCN,3244,'NoneType' object is not subscriptable
500,OXLCO,3245,'NoneType' object is not subscriptable
501,OXLCZ,3247,'NoneType' object is not subscriptable
502,OXSQG,3249,'NoneType' object is not subscriptable
503,OXSQL,3250,'NoneType' object is not subscriptable
504,OXUSW,3254,'NoneType' object is not subscriptable
